City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
220,dingli,0,MT,1523920500,87,35.86,14.38,59.0,11.41
221,port-gentil,20,GA,1523919600,83,-0.72,8.78,82.4,6.93
222,sibolga,24,ID,1523923941,100,1.74,98.78,68.36,2.62
223,tuatapere,0,NZ,1523923941,100,-46.13,167.69,50.23,24.54
224,petropavlovsk-kamchatskiy,0,RU,1523921400,43,53.05,158.65,33.8,17.9
225,sao joao da barra,0,BR,1523919600,83,-21.64,-41.05,71.6,2.24
226,ixtapa,75,MX,1523918820,78,20.71,-105.21,77.0,10.29
227,atar,0,MR,1523923943,37,20.52,-13.05,64.0,3.74
228,nhamunda,20,BR,1523923737,93,-2.19,-56.71,76.82,3.51
229,craig,1,US,1523921700,18,40.52,-107.55,68.0,20.8
230,izumo,75,JP,1523919600,66,35.37,132.75,53.6,3.36
231,hit,0,IQ,1523923944,54,33.64,42.83,53.96,4.63
232,flinders,75,AU,1523919600,72,-34.58,150.85,64.4,11.41
233,torbay,5,CA,1523919600,68,47.66,-52.73,26.6,3.36
234,nantucket,90,US,1523921700,93,41.28,-70.1,53.6,5.82
235,saint-prosper,92,CA,1523923946,97,46.21,-70.48,31.42,14.14
236,ust-barguzin,12,RU,1523923946,65,53.41,109.03,29.62,3.74
237,otradnoye,75,RU,1523921400,76,59.77,30.8,48.2,6.71
238,ust-kuyga,36,RU,1523923947,92,70.0,135.55,14.54,4.29
239,priboj,0,RS,1523921400,87,43.58,19.53,50.0,2.24
240,mareeba,75,AU,1523921400,83,-16.99,145.42,78.8,14.99
241,terre haute,90,US,1523921700,74,39.47,-87.41,35.6,14.99
242,davila,40,PH,1523923200,69,18.47,120.58,82.4,14.14
243,kroya,12,ID,1523923948,89,-6.5,108.06,74.84,3.4
244,neuquen,0,AR,1523919600,59,-38.95,-68.06,62.6,2.84
245,pangnirtung,32,CA,1523923949,85,66.15,-65.72,9.1,6.64
246,tura,24,IN,1523923950,94,25.52,90.21,67.19,2.28
247,shelburne,90,CA,1523920740,93,44.08,-80.2,35.6,6.93
248,boa vista,75,BR,1523919600,94,2.82,-60.67,75.2,4.7
249,boditi,76,ET,1523923951,90,6.95,37.86,54.86,2.51
250,kaeo,88,NZ,1523923952,98,-35.1,173.78,66.65,13.13
251,ancud,68,CL,1523923952,72,-41.87,-73.83,52.3,6.98
252,kindu,24,CD,1523923952,86,-2.95,25.92,72.86,1.95
253,marsa matruh,0,EG,1523919600,60,31.35,27.25,68.0,8.05
254,alta floresta,48,BR,1523923953,81,-9.87,-56.08,76.28,2.95
255,turan,80,RU,1523923953,98,52.15,93.92,31.6,2.28
256,ponta do sol,92,BR,1523923954,68,-20.63,-46.0,67.6,10.45
257,luderitz,0,NA,1523923954,90,-26.65,15.16,62.33,2.17
258,manzhouli,0,CN,1523923954,58,49.6,117.43,42.08,10.11
259,avera,1,US,1523921700,72,33.19,-82.53,59.0,11.41
260,kutum,0,SD,1523923955,20,14.2,24.66,62.51,7.54
261,parsabad,0,AZ,1523923683,86,39.65,47.92,36.28,1.83
262,douglas,1,US,1523919360,5,31.34,-109.55,80.6,23.04
263,mamallapuram,40,IN,1523923200,88,12.63,80.17,82.4,4.7
264,san patricio,8,PY,1523923956,81,-26.98,-56.83,73.63,4.63
265,maputo,0,MZ,1523923957,92,-25.97,32.57,62.24,3.96
266,henties bay,8,NA,1523923957,95,-22.12,14.28,67.91,3.51
267,sitka,0,US,1523923957,19,37.17,-99.65,77.45,15.03
268,saldanha,0,PT,1523923958,92,41.42,-6.55,41.32,4.63
269,kingsport,75,US,1523922900,57,36.55,-82.56,32.0,16.11
270,vila velha,75,BR,1523919600,83,-3.71,-38.6,80.6,4.7
271,san quintin,40,PH,1523923200,69,17.54,120.52,82.4,3.4
272,portland,90,US,1523923260,71,45.52,-122.67,50.0,13.87
273,ust-omchug,56,RU,1523923959,71,61.13,149.63,22.42,3.62
274,matadi,20,CD,1523923960,92,-5.83,13.46,74.21,4.63
275,constancia,76,CU,1523919540,83,22.24,-80.58,75.2,8.05
276,betare oya,48,CM,1523923960,83,5.6,14.08,72.05,2.39
277,mandalgovi,20,MN,1523923961,52,45.76,106.27,39.43,10.45
278,price,1,US,1523922780,6,39.6,-110.81,71.6,26.4
279,baghdad,0,IQ,1523921400,59,33.3,44.38,64.4,4.7
280,sekoma,12,BW,1523923962,70,-24.51,23.93,66.2,11.23
281,lagoa,0,PT,1523921400,93,37.14,-8.45,53.6,5.82
282,lasa,0,CY,1523923200,51,34.92,32.53,62.6,3.36
283,anahuac,1,US,1523922900,37,29.77,-94.68,75.2,9.17
284,jensen beach,1,US,1523921700,40,27.25,-80.23,75.2,6.93
285,alanya,24,TR,1523923965,100,36.55,32.0,61.43,6.87
286,ayan,0,TR,1523923966,68,40.67,33.6,33.35,1.39
287,zonguldak,0,TR,1523923966,69,41.25,31.83,52.12,3.85
288,cap malheureux,20,MU,1523919600,88,-19.98,57.61,75.2,2.24
289,loei,75,TH,1523923200,100,17.49,101.72,69.8,4.7
290,maniitsoq,20,GL,1523923967,71,65.42,-52.9,17.96,6.87
291,marawi,68,PH,1523923968,100,8.0,124.29,73.0,1.61
292,rioja,92,PE,1523923968,84,-6.06,-77.17,65.84,3.96
293,flin flon,20,CA,1523919600,35,54.77,-101.88,41.0,9.17
294,port macquarie,0,AU,1523919600,64,-31.43,152.91,69.8,8.05
295,nalut,0,LY,1523923969,67,31.86,10.98,53.87,3.51
296,vitim,80,RU,1523923969,77,59.44,112.57,35.42,4.74
297,bure,0,NG,1523923970,45,10.52,10.33,76.42,8.99
298,viedma,0,AR,1523923970,41,-40.81,-62.99,80.33,15.48
299,vakhrushev,0,RU,1523923971,70,48.99,142.86,45.55,9.44
300,spearfish,1,US,1523922900,34,44.49,-103.86,64.4,19.46
301,broken hill,44,AU,1523923972,74,-31.97,141.45,64.45,8.99
302,ust-kulom,32,RU,1523923972,75,61.69,53.69,13.6,2.51
303,brownsville,1,US,1523922900,50,25.91,-97.49,78.8,20.8
304,ketchikan,20,US,1523922780,37,55.34,-131.65,53.6,10.29
305,husavik,0,CA,1523923973,46,50.56,-96.99,42.17,8.77
306,skvyra,0,UA,1523923973,54,49.73,29.66,51.8,10.67
307,pevek,0,RU,1523923974,84,69.7,170.27,34.34,14.7
308,camopi,64,GF,1523923974,98,3.17,-52.33,74.39,2.39
309,sao filipe,0,CV,1523923974,100,14.9,-24.5,69.62,13.58
310,marica,75,BR,1523919600,88,-22.92,-42.82,73.4,18.34
311,ambilobe,0,MG,1523923975,89,-13.19,49.05,72.41,4.07
312,dongkan,0,CN,1523923975,73,34.0,119.83,52.57,8.21
313,sanjwal,75,PK,1523921400,88,33.76,72.43,64.4,11.41
314,vagay,0,RU,1523923976,75,57.94,69.02,15.26,5.08
315,otane,24,NZ,1523923976,70,-39.89,176.62,67.87,13.58
316,la guacamaya,75,MX,1523918760,34,19.04,-99.9,68.0,12.75
317,norman wells,20,CA,1523919600,48,65.28,-126.83,21.2,16.11
318,lagos,20,NG,1523919600,83,6.46,3.39,80.6,2.24
319,nishihara,90,JP,1523922960,81,35.74,139.53,57.2,6.93
320,lokosovo,76,RU,1523923978,84,61.13,74.84,9.37,10.89
321,amuntai,80,ID,1523923978,97,-2.42,115.25,75.7,2.73
322,micheweni,92,TZ,1523923978,100,-4.97,39.83,74.12,12.68
323,binahaan,44,PH,1523923979,99,13.99,121.76,80.78,12.68
324,zarasai,88,LT,1523923979,90,55.73,26.25,55.18,2.17
325,phra phutthabat,92,TH,1523923979,100,14.72,100.8,71.96,3.85
326,riyadh,0,SA,1523919600,68,24.63,46.72,69.8,3.36
327,venado,0,MX,1523923980,29,22.93,-101.09,71.6,11.34
328,tabuk,56,PH,1523923980,94,17.41,121.44,70.52,2.62
329,nanga eboko,56,CM,1523923981,88,4.68,12.37,72.59,8.21
330,monte lirio,20,PA,1523919600,66,8.79,-82.83,86.0,5.82
331,itoman,90,JP,1523922960,100,26.12,127.67,64.4,5.82
332,grajewo,80,PL,1523923982,87,53.65,22.46,57.25,2.73
333,moron,20,VE,1523919600,52,10.49,-68.2,87.8,1.12
334,muli,0,IN,1523923983,42,22.62,71.45,76.6,6.98
335,baoqing,80,CN,1523923983,57,46.32,132.2,52.3,11.01
336,the valley,40,AI,1523919600,78,18.22,-63.06,78.8,11.41
337,moerai,64,PF,1523923984,100,-22.43,-151.33,78.71,25.21
338,black river,40,JM,1523919600,74,18.03,-77.85,80.6,9.17
339,nanakuli,90,US,1523922360,74,21.39,-158.15,82.4,11.41
340,pokhara,68,NP,1523923812,92,28.21,83.99,52.88,2.73
341,rawson,64,AR,1523923985,35,-43.3,-65.11,74.3,19.51
342,jalu,0,LY,1523923985,28,29.03,21.55,72.14,14.7
343,vanimo,68,PG,1523923986,100,-2.67,141.3,82.49,6.42
344,airai,0,TL,1523923986,67,-8.93,125.41,77.05,2.17
345,mehamn,76,NO,1523923986,94,71.03,27.85,30.97,3.06
346,banda aceh,32,ID,1523923987,100,5.56,95.32,74.21,2.73
347,tandalti,0,SD,1523923987,40,13.01,31.87,65.84,4.63
348,nemuro,0,JP,1523921400,60,43.32,145.57,42.8,14.99
349,ursulo galvan,36,MX,1523923988,67,20.6,-97.44,75.25,12.46
350,belmonte,0,PT,1523923988,88,40.36,-7.35,40.1,3.4
351,ninghai,0,CN,1523919600,87,29.29,121.42,48.2,4.47
352,egvekinot,92,RU,1523923989,92,66.32,-179.17,30.92,6.64
353,aykhal,0,RU,1523923989,71,65.95,111.51,20.75,4.85
354,kalmunai,56,LK,1523923990,100,7.42,81.82,74.39,2.62
